State,IHE,Program Title,Level of Degree,Format,Alternate Route to Certification,Category of Credentialling,URL for Program
Alabama,The University of Alabama at Birmingham,Master of Arts in Education in Special Education with Early Childhood Special Education Concentration,Masters,In Person,No,ECSE,https://www.uab.edu/education/home/graduate/special-education/maed-special-education-early-childhood-special-education-concentration
Alabama,The University of Alabama,"Special Education, Ed.S. Traditional Class AA early childhood special education",Ed.S.,In Person,No,ECSE,https://online.ua.edu/degrees/eds-in-special-education/
Alaska,University of Alaska,Bachelor of Arts in Early Childhood Education Child Life Specialist Track,Bachelors,In Person,No,ECSE,https://www.uaa.alaska.edu/academics/school-of-education/programs/early-childhood-education.cshtml
Alaska,University of Alaska,Graduate Certificate in Special Education with a concentration in Elementary Education,Graduate Certificate,In Person,No,ECSE,https://www.uaa.alaska.edu/academics/school-of-education/programs/special-education.cshtml
Arizona,Grand Canyon University,B.S.  in Early Childhood Education and Early Childhood Special Education,Bachelors,Hybrid,No,Dual,https://www.gcu.edu/degree-programs/bachelor-science-early-childhood-special-education
Arizona,Northern Arizona University,B.S.Ed. Dual Certification in Early Childhood Education and Early Childhood Special Education,Bachelors,In Person,No,Dual,https://nau.edu/ed-specialties/special-education/bsed-early-childhood-and-special-education/
Arizona,Prescott College,B.A. Early Childhood Special Education,Bachelors,Online,No,ECSE,https://prescott.edu/area-of-study/ba-early-childhood-special-education/
Arizona,Arizona State University-Tempe,Early Childhood  Education BA with Early Childhood Special Education Certificate,Certificate in conjunction with a Bachelors,Hybrid,No,Dual,https://degrees.apps.asu.edu/minors/major/ASU00/TEECSCERT/-early-childhood-special-education?init=false&nopassive=true#contact
Arizona,Prescott College,Post-Baccalaureate Certification - Dual ECE and ECSE Online,Post Bac. Certificate,Online,Yes,Dual,https://prescott.edu/area-of-study/early-childhood-education-certificate-3/
Arizona,Prescott College,Early Childhood Education Post-Baccalaureate Certification - Early Childhood Special Education Track,Post Bac. Certificate,Online,Yes,ECSE,https://prescott.edu/area-of-study/early-childhood-special-education-certificate-2/
Arizona,Grand Canyon University,M.Ed. in Early Childhood Education and Early Childhood Special Education (Licensure),Masters,Online,No,Dual,https://www.gcu.edu/degree-programs/master-education-early-childhood-special-education
Arizona,Northern Arizona University,MED Special Education - Early Childhood Special Education with Certification,Masters,Hybrid,No,ECSE,https://nau.edu/ed-specialties/med-special-ed-non-certified/
Arizona,Prescott College,Masters of Education Degree with optional Certification - Dual ECE and ECSE Online,Masters,Online,No,Dual,https://prescott.edu/area-of-study/master-of-education-med/
Arizona,Prescott College,Master of Education in Early Childhood Special Education,Masters,Online,No,ECSE,https://prescott.edu/area-of-study/master-of-education-early-childhood-special-education/
Arkansas,University of Arkansas,Birth through Kindergarten (BRKD),Bachelors,In Person,No,Blended,https://human-environmental-sciences.uark.edu/academics/undergraduate-programs/birth-kindergarten.php
Arkansas,University of Central Arkansas,Birth-Kindergarten Graduate Endorsement,Graduate Certificate,In Person,No,Blended,https://uca.edu/gbulletin/fields-of-study/special-education/#sec010302
Arkansas,Arkansas Tech University,MSEd in Special Education: Special Ed. B-K Licensure Option,Masters,Hybrid,No,Blended,https://www.atu.edu/catalog/current/graduate/programs/ms_education/ms_ed_k12_special_education.php
Arkansas,Harding University,"Early Childhood/Special Education Integrated (B-K) (SPBK), MAT",Masters,In Person,Yes,Blended,https://www.harding.edu/education/hu-birth-to-kindergarten-education.html
Arkansas,Henderson State University,MAT Early Childhood/Special Education (Birth-Kindergarten): Employment Required  (Alt Route),Masters,Online,Yes,Blended,https://www.hsu.edu/academics/learning-communities/health-education-and-social-sustainability/master-of-arts-in-teaching/master-of-arts-in-teaching-special-education/
Arkansas,Harding University,Early Childhood/Special Education Integrated B-K Endorsement (GR),State Certification or Credential Only,Online,No,Blended,https://www.harding.edu/academics/colleges-departments/education/graduate-programs/graduate-education
California,San Diego State University,"Child Development, Emphasis in Early Childhood Special Education Integrated Teacher Education Program (ITEP), B.S. in Applied Arts and Sciences",Bachelors,In Person,No,ECSE,https://education.sdsu.edu/teach/itep
California,California State University- Dominguez Hills,Early Childhood Special Education Added Authorization (ECSE AA),Post Bac. Certificate,In Person,No,ECSE,https://www.csudh.edu/special-ed/
California,California State University- Dominguez Hills,Early Childhood Special Education Credential: Intern Option,Post Bac. Certificate,In Person,No,ECSE,https://www.csudh.edu/coe/programs/special-education/
California,California State University- Dominguez Hills,Early Childhood Special Education Credential: Student Teaching Option,Post Bac. Certificate,In Person,No,ECSE,https://www.csudh.edu/coe/programs/special-education/
California,California State University-Bakersfield,Added Authorization in Early Childhood Special Education (ECSE-AA),Post Bac. Certificate,In Person,No,ECSE,https://www.csub.edu/specialed/sped_programs/index.html
California,California State University-Fullerton,Early Childhood Special Education Authorization,Post Bac. Certificate,In Person,No,ECSE,https://catalog.fullerton.edu/preview_program.php?catoid=80&poid=38311&hl=%22early+childhood+special+education%22&returnto=search
California,California State University-Northridge,"Preliminary Education Specialist Credential, ECSE Intern Program",Post Bac. Certificate,In Person,No,ECSE,https://www.csun.edu/eisner-education/special-education/special-education-intern-program-early-childhood-special
California,California State University-Northridge,"Preliminary Education Specialist Credential, ECSE Traditional Program",Post Bac. Certificate,In Person,No,ECSE,https://catalog.csun.edu/academics/sped/programs/preliminary-education-specialist-instruction-credential-ii/early-childhood-special-education/
California,University of Massachusetts Global,"MA in Teaching, Preliminary ECSE Credential",Post Bac. Certificate,Hybrid,No,ECSE,https://www.umassglobal.edu/academic-programs/education/mat-with-preliminary-early-childhood-education-specialist-credential
California,"California State University, San Bernardino",Internship Education Specialist Credential: Early Childhood Special Education with EL Authorization,State Certification or Credential Only,In Person,Yes,ECSE,https://www.csusb.edu/special-education/credential-programs/credential-program-options/internship-option/early-childhood
California,"California State University, San Bernardino",Preliminary Education Specialist Credential: Early Childhood Special Education with EL Authorization,State Certification or Credential Only,In Person,No,ECSE,https://www.csusb.edu/special-education/credential-programs/credential-program-options/internship-option/early-childhood
California,California State University-Los Angeles,"MA in Special Education, ECSE option",Masters,In Person,No,ECSE,https://www.calstatela.edu/academic/ccoe/programs/ma_spedearlychildhood
California,California State University-Northridge,"M.A., Special Education, Early Childhood Special Education",Masters,In Person,No,ECSE,https://catalog.csun.edu/academics/sped/programs/ma-special-education-ii/early-childhood-special-education/
California,California State University-Sacramento,Master of Arts in Special Education Teaching (Education Specialist Early Childhood),Masters,Online,No,ECSE,https://catalog.csus.edu/colleges/education/teaching-credentials/master-of-arts-in-special-education-teaching-education-specialist-early-childhood/
California,Point Loma Nazarene University,Master of Arts in Special Education,Masters,Online,No,ECSE,https://www.pointloma.edu/graduate-studies/programs/masters-special-education
California,San Diego State University,Preliminary Education Specialist Credential: ECSE Specialization,Masters,In Person,No,ECSE,https://catalog.sdsu.edu/preview_program.php?catoid=9&poid=8604
California,San Francisco State University,Preliminary Education Specialist Credential in ECSE,Masters,In Person,No,ECSE,https://ecse.sfsu.edu/content/programs-ecse
California,San Francisco State University,Preliminary Education Specialist Credential in ECSE Intern Track,Masters,In Person,No,ECSE,https://sped.sfsu.edu/content/early-childhood-special-education-program
California,San Jose State University,Preliminary Credential & MA: Early Childhood,Masters,Hybrid,No,ECSE,https://newdev.sjsu.edu/specialed/academics/credentials.php#curriculum
California,California State University-Fullerton,Early Childhood Special Education Credential,State Certification or Credential Only,In Person,No,ECSE,https://catalog.fullerton.edu/preview_program.php?catoid=80&poid=38308&hl=%22early+childhood+special+education%22&returnto=search
California,California State University-Los Angeles,Preliminary Education Specialist Credential - Early Childhood Special Education (ECSE),State Certification or Credential Only,In Person,No,ECSE,https://ecatalog.calstatela.edu/preview_program.php?catoid=73&poid=33405&hl=%22Preliminary+Education+Specialist+Credential+-+Early+Childhood+Special+Education+%28ECSE%29%22&returnto=search
California,California State University-Northridge,Teacher Induction Education Specialist Credential,State Certification or Credential Only,In Person,No,ECSE,https://catalog.csun.edu/academics/sped/programs/teacher-induction-education-specialist-credential-ii/early-childhood-special-education/
California,California State University-Sacramento,Early Childhood Special Education - Added Authorization,State Certification or Credential Only,Online,No,ECSE,https://catalog.csus.edu/colleges/education/teaching-credentials/early-childhood-special-education_added-authorization/
California,"Fresno Pacific University, Fresno",Early Childhood Special Education Preliminary Credential,State Certification or Credential Only,In Person,No,ECSE,https://catalog.fresno.edu/preview_program.php?catoid=33&poid=5725&hl=Early+Childhood+Special+Education+Preliminary+Credential&returnto=search
California,Point Loma Nazarene University,Early Childhood Special Education Added Authorization,State Certification or Credential Only,Online,No,ECSE,https://www.pointloma.edu/graduate-studies/programs/early-childhood-special-education-added-authorization
California,San Diego State University,Early Childhood Special Education Added Authorization,State Certification or Credential Only,Online,No,ECSE,https://education2.sdsu.edu/sped/programs-of-study/early-childhood-sped-added-authorization
California,San Diego State University,"Early Childhood Special Education: Mild Moderate Disabilities and Moderate to Severe Disabilities, Clear Education Specialist Credential",State Certification or Credential Only,Hybrid,No,ECSE,https://catalog.sdsu.edu/preview_program.php?catoid=9&poid=8602&returnto=808
California,San Diego State University,Preliminary ECSE Specialization 2 Semester Option,State Certification or Credential Only,In Person,No,ECSE,https://education.sdsu.edu/sped/programs-of-study/early-childhood/2-semester-early-childhood
California,San Diego State University,Preliminary ECSE Specialization 4 Semester Option,State Certification or Credential Only,In Person,No,ECSE,https://education.sdsu.edu/sped/programs-of-study/early-childhood/4-semester-early-childhood
California,San Francisco State University,Early Childhood Special Education Credential: Special Education,State Certification or Credential Only,In Person,No,ECSE,https://bulletin.sfsu.edu/colleges/education/special-education/credential-sped-early-childhood/#text
California,San Jose State University,Education Specialist Preliminary Teaching Credential,State Certification or Credential Only,Hybrid,No,ECSE,https://newdev.sjsu.edu/specialed/academics/credentials.php#curriculum
California,San Jose State University,Preliminary Credential with Intern Option: Early Childhood,State Certification or Credential Only,Hybrid,No,ECSE,https://newdev.sjsu.edu/specialed/academics/credentials.php#curriculum
California,Sonoma State University,Early Childhood Special  Education-Added Authorization (ECSE-AA),State Certification or Credential Only,In Person,No,ECSE,https://education.sonoma.edu/programs/credentials/added-authorizations/early-childhood-special-education-authorization
California,Teachers College of San Joaquin,Education Specialist Credential with ECSE Added Authorization,State Certification or Credential Only,In Person,No,ECSE,https://teacherscollegesj.edu/adding-an-authorization/early-childhood-special-education-added-authorization/
California,University of La Verne,Early Childhood Special Education Added Authorization,State Certification or Credential Only,In Person,No,ECSE,https://laverne.edu/programs/early-childhood-special-education-added-authorization/
California,University of Massachusetts Global,"Added Authorization, Early Childhood Special Education",State Certification or Credential Only,Online,No,ECSE,https://www.umassglobal.edu/academic-programs/education/early-childhood-special-education-added-authorization
Colorado,Colorado Mesa University,"Early Childhood Special Education, Early Childhood Education (BA)",Bachelors,In Person,No,Dual,https://www.coloradomesa.edu/teacher-education/undergraduate/special-education.html
Colorado,University of Colorado Colorado Springs,BA in Inclusive Early Childhood Education,Bachelors,Hybrid,Yes,Dual,https://coe.uccs.edu/teaching-and-learning/bachelor-of-arts-in-inclusive-early-childhood-education
Colorado,University of Colorado Colorado Springs,Grad Cert Inclusive Early Childhood Ed,Graduate Certificate,Hybrid,Yes,Dual,https://coe.uccs.edu/degrees-and-programs/certificates-and-endorsements/inclusive-early-childhood-education-certificate
Colorado,University of Denver,Graduate Certificate in Early Childhood Special Education,Graduate Certificate,Online,No,ECSE,https://morgridge.du.edu/academic-programs/early-childhood-special-education/graduate-certificate
Colorado,University of Colorado Denver/Anschutz Medical Campus,"Master of Arts in Early Childhood Education, Early Childhood Special Education Specialist (License)",Masters,Hybrid,No,ECSE,https://education.ucdenver.edu/academics/online/detail/early-childhood-education-ma-with-early-childhood-special-education-specialist-license
Colorado,University of Denver,Master of Arts in Early Childhood Special Education,Masters,Online,No,ECSE,https://morgridge.du.edu/academic-programs/early-childhood-special-education/ma
Colorado,University of Northern Colorado,Special Education M.A. – Early Childhood Special Education Concentration,Masters,In Person,No,ECSE,https://unco.smartcatalogiq.com/Current/Graduate-Catalog/Graduate-Programs/Masters-Degrees/Special-Education-MA-Early-Childhood-Special-Education-Concentration
Colorado,University of Colorado Denver/Anschutz Medical Campus,Early Childhood Special Education Specialist License,State Certification or Credential Only,Hybrid,No,ECSE,https://education.ucdenver.edu/academics/online/detail/Early-Childhood-Special-Education-Specialist-License
Colorado,University of Colorado Denver/Anschutz Medical Campus,"Endorsement, Early Childhood Special Education Specialist",State Certification or Credential Only,Hybrid,No,ECSE,https://education.ucdenver.edu/academics/online/detail/Early-Childhood-Special-Education-Endorsement
Colorado,University of Colorado Denver/Anschutz Medical Campus,"Endorsement, ELEVATE Early Childhood Special Education",State Certification or Credential Only,Online,No,ECSE,https://education.ucdenver.edu/academics/online/detail/endorsement-elevate-early-childhood-special-education
Colorado,University of Northern Colorado,Early Childhood Special Education Endorsement (Ages 0-8 yrs),State Certification or Credential Only,In Person,No,ECSE,https://extended.unco.edu/programs/special-education-early-childhood-masters-endorsement/
Connecticut,Eastern Connecticut State University,"BS in Early Childhood Education & Certification (CT 113, Integrated Early Childhood/Special Ed., N - K - Elem. 1 – 3)",Bachelors,In Person,No,Blended,https://www.easternct.edu/programs/early-childhood-education.html
Connecticut,Mitchell College,B.S. Early Childhood Studies with a concentration in Early Childhood Education leading towards Teacher Certification,Bachelors,In Person,No,Blended,https://mitchell.edu/academic-programs/early-childhood-education/
Connecticut,Southern Connecticut State University,"B.S. Early Childhood Education + Psychology,  Child, Family and Community Studies concentration",Bachelors,In Person,No,Blended,https://www.southernct.edu/program/early-childhood-education-bs
Connecticut,University of Hartford,"BS in Early Childhood Education - certification, Birth to K endorsement",Bachelors,In Person,No,Blended,https://www.hartford.edu/academics/schools-colleges/enhp/academics/department-of-education/bs-in-early-childhood-education.aspx
Connecticut,University of Hartford,"BS in Early Childhood Education - certification, PreK to Grade 3 endorsement",Bachelors,In Person,No,Blended,https://www.hartford.edu/academics/schools-colleges/enhp/academics/department-of-education/bs-in-early-childhood-education.aspx
Connecticut,Eastern Connecticut State University,MS in Early Childhood Education & Certification (Grades prek/N-3),Masters,Hybrid,No,Blended,https://www.easternct.edu/graduate-division/programs-of-study/education-ms-new.html
Connecticut,Southern Connecticut State University,Early Childhood Education MAT,Masters,In Person,No,Blended,https://www.southernct.edu/program/teaching-mat-early-childhood-education
Connecticut,University of Hartford,"Early Childhood Education, M.E.d.",Masters,In Person,No,Blended,https://www.hartford.edu/academics/schools-colleges/enhp/academics/department-of-education/med-in-early-childhood-elementary.aspx#
Connecticut,University of Hartford,"MEd in Early Childhood Education - certification, Birth to K endorsement #112 CT Certification",Masters,In Person,No,Blended,https://catalog.hartford.edu/preview_program.php?catoid=27&poid=6380&hl=early+childhood+education&returnto=search
Connecticut,University of Hartford,"MEd in Early Childhood Education - certification, Nursery to Grade 3 endorsement",Masters,In Person,No,Blended,https://catalog.hartford.edu/preview_program.php?catoid=27&poid=6380&hl=early+childhood+education&returnto=search
Connecticut,University of Saint Joseph,"Early Childhood Education/Special Education, M.A.T.",Masters,Hybrid,No,Blended,https://www.usj.edu/academics/sasbe/education/early-childhood-ed-special-ed-mat/
Connecticut,University of Saint Joseph,"Early Childhood/Special Education, M.A.",Masters,In Person,No,Blended,https://www.usj.edu/academics/sasbe/education/early-childhood-education-special-education-ma/
Connecticut,Charter Oak State College,Alternate Route to Certification in Early Childhood Education (Birth to 5),State Certification or Credential Only,Hybrid,Yes,Blended,https://www.charteroak.edu/certificates/ece_arc.php
Delaware,Wilmington University,"Early Care and Education (Birth-Grade 2), Bachelor of Science",Bachelors,Hybrid,No,Dual,https://www.wilmu.edu/education/early-care-education-birth-grade2-curriculum.aspx
Delaware,University of Delaware,4+1 B.S./M.S. HDFS: Early Childhood Development and Inclusive Education,Integrated Bachelors/Masters,In Person,No,Dual,https://www.hdfs.udel.edu/4plus1ece/
Delaware,University of Delaware,EARLY CHILDHOOD DEVELOPMENT AND INCLUSIVE EDUCATION CONCENTRATION (MS),Masters,In Person,No,Dual,https://www.hdfs.udel.edu/ms-program/#concentrations
Delaware,Wilmington University,Special Education Instruction Early Childhood/Exceptional Children Concentration MeD,Masters,Hybrid,No,ECSE,https://www.wilmu.edu/education/special-education-instruction-master-curriculum.aspx
Delaware,Wilmington University,Special Education Teacher of Students with Disabilities Early Childhood/Exceptional Children Concentration MSE,Masters,Hybrid,No,ECSE,https://www.wilmu.edu/education/special-education-teacher-for-students-with-disabilities-master-curriculum.aspx
District of Columbia,The George Washington University,Master's in Early Childhood Special Education,Masters,In Person,No,Dual,https://gsehd.gwu.edu/masters-ecse
Florida,College of Central Florida,"B.S. Early Childhood Education, English for Speakers of Other Languages (ESOL) endorsement (K-12)",Bachelors,In Person,No,Dual,https://www.cf.edu/academics/areas-of-study/teacher-education/bachelor-of-science-in-early-childhood-education/
Florida,Florida Gulf Coast University,"ECE (B.A.), Prekindergarten/Primary Certification w/ Prekindergarten/Disability endorsement",Bachelors,In Person,No,Dual,https://www.fgcu.edu/catalog/academicprograms?id=31
Florida,Miami Dade College,B.S. in ECE (B-4 & 3-Grade 3 licensure) w. Pre-K/Primary and Pre-Kindergarten Disabilities Endorsements,Bachelors,In Person,No,Dual,https://www.mdc.edu/earlychildhood/default.aspx
Florida,University of Florida,Unified Early Childhood Education Program BAE/MED,Integrated Bachelors/Masters,In Person,No,Dual,https://education.ufl.edu/early-childhood/bachelors/#toggle-id-5
Florida,University of Central Florida,Graduate Certificate in Prekindergarten (Pre-K) Disabilities,Graduate Certificate,Online,No,ECSE,https://www.ucf.edu/degree/prekindergarten-disabilities-certificate/
Florida,Florida Atlantic University,"MA SpEd, Concentration in ECSE.- PreK Disabilities + Infant/Toddler",Masters,In Person,No,ECSE,https://www.fau.edu/registrar/university-catalog/catalog/education/#exmas
Florida,Florida Atlantic University,"Master's in Special Education, Concentration in ECE.- eligibility for Pre-Kindergarten Disabilities Endorsement",Masters,In Person,No,ECSE,https://www.fau.edu/education/academicdepartments/ese/non-degree/state-of-florida-teacher-certification-endorsement-prek-grade3/
Florida,Broward College,Prekindergarten Disabilities Endorsement,State Certification or Credential Only,Online,No,ECSE,https://www.broward.edu/academics/education/endorsements/
Florida,Florida Atlantic University,Pre-K State of Florida Teacher Certification Endorsement (PreK-Grade 3),State Certification or Credential Only,Hybrid,No,ECSE,https://www.fau.edu/education/academicdepartments/ese/non-degree/state-of-florida-teacher-certification-endorsement-prek-grade3/
Georgia,Georgia Southern University,"Human Development and Family Science - Concentration in Birth Through Kindergarten (Certification Track), B.S. [Birth-Kindergarten Teacher Education]",Bachelors,In Person,No,Blended,https://catalog.georgiasouthern.edu/preview_program.php?catoid=4&poid=1194
Georgia,Kennesaw State University,B.S. in Early Childhood Education: Birth through Kindergarten - Certification Concentration,Bachelors,In Person,No,Blended,https://bagwell.kennesaw.edu/departments/eece/programs/bs/kindergarten/index.php
Georgia,Mercer University,B.S.Ed. in Early Learning and Development - certification track (Birth–Kindergarten) (includes special education),Bachelors,Hybrid,No,Blended,https://education.mercer.edu/academic-programs/initial-teacher-certification/b-s-ed-early-learning-and-development/
Georgia,University of Georgia,Human Development and Family Science BSFCS/Special Education MAT(Birth through Kindergarten)(non-thesis) - Double Dawgs Pathway,Integrated Bachelors/Masters,In Person,No,Blended,https://doubledawgs.uga.edu/ProgramDetails/11829
Georgia,University of Georgia,MAT in Special Education (Birth Through Kindergarten/Preschool Special Education) (initial certification),Masters,In Person,No,Blended,https://coe.uga.edu/academics/degrees/mat-special-education-birth-through-kindergarten-preschool-special-education
Georgia,University of Georgia,MEd in Special Education (Birth Through Kindergarten/Preschool Special Education),Masters,In Person,No,Blended,https://coe.uga.edu/academics/degrees/med-special-education-birth-through-kindergarten-preschool-special-education/
Georgia,Kennesaw State University,Preschool/Special Education Certification-Only Program,State Certification or Credential Only,In Person,No,ECSE,https://catalog.kennesaw.edu/preview_program.php?catoid=61&poid=6994&returnto=4611
Georgia,University of Georgia,Preschool Special Education Endorsement,State Certification or Credential Only,In Person,No,ECSE,https://coe.uga.edu/academics/non-degree/preschool-special-education-endorsement
Hawaii,Chaminade University of Honolulu,"Bachelor of Science in Special Education 3 + 1 Program for Leeward Community College ( PK-3,) (Online Undergraduate )",Bachelors,Online,No,ECSE,https://chaminade.edu/education-behavioral-sciences/special-education-online/
Hawaii,University of Hawaii at Monoa,"BEd, Early Childhood/Early Childhood SPED",Bachelors,Hybrid,No,Dual,https://coe.hawaii.edu/elem/programs/ece/
Idaho,Boise State University,Blended Early Childhood/Early Childhood Special Education BA,Bachelors,In Person,No,Blended,https://www.boisestate.edu/education-esp/ecse/
Idaho,Brigham Young University-Idaho,Early Childhood Education/Early Childhood Special Education (Major: Bachelor-Level),Bachelors,In Person,No,Blended,https://www.byui.edu/catalog#/programs/NyeWE7Z2sW?bc=true&bcCurrent=Early%20Childhood%20Education%2FEarly%20Childhood%20Special%20Education%20&bcItemType=programs
Idaho,Idaho State University,"B.A. Blended Early Childhood Education
Early Childhood Education Program",Bachelors,In Person,No,Blended,https://coursecat.isu.edu/undergraduate/education/familyandconsumersciences/ba-blended-early-childhood-education/
Idaho,University of Idaho,BS Early Childhood - Blended ECE/ECSE Cert,Bachelors,In Person,No,Blended,https://www.uidaho.edu/cals/family-and-consumer-sciences/bs-early-childhood-education
Idaho,Boise State University,MIT Special Education: P-8 Special Education (ECSE endorsement 3-5),Masters,Online,No,Blended,https://www.boisestate.edu/education-esp/mit-sped/#advising-guide-p-8
Illinois,Aurora University,Early Childhood Special Education with ESL/Bilingual (BA),Bachelors,In Person,No,Dual,https://catalog.aurora.edu/undergraduate/programs/early-childhood-special-education-bilingual-esl/#text
Illinois,Bradley University,Major: Early Childhood Education with English as a Second Language endorsement and Early Childhood Special Education Approval (PreK ONLY),Bachelors,In Person,No,Dual,https://www.bradley.edu/academic/departments/ecl/major/early/
Illinois,DePaul University,Early Childhood Education (BS) with Approval in ECE Special Education,Bachelors,In Person,No,Dual,https://catalog.depaul.edu/programs/early-childhood-education-bs/
Illinois,Eastern Illinois University,Special Education: Early Childhood Special Education/Early Childhood Dual,Bachelors,In Person,No,Dual,https://catalog.eiu.edu/preview_program.php?catoid=44&poid=6825&hl=Licensure+Programs+Leading+to+Multiple+Endorsements&returnto=search
Illinois,Eastern Illinois University,Special Education: Early Childhood Special Education Option (B.S. in Education),Bachelors,In Person,No,ECSE,https://www.eiu.edu/speced/about.php
Illinois,Elmhurst University,Major: Educating Young Children (early childhood license with a letter of approval for early childhood special education and English as a Second Language (ESL) endorsement),Bachelors,In Person,No,Dual,https://www.elmhurst.edu/academics/departments/education/programs/educating-young-children-major/
Illinois,Governors State University,"Early Childhood Education, B.A. (Illinois Professional Educator License (PEL) with endorsements:
Early Childhood Education (Birth to Grade 2), ESL (K-12), Early Childhood Special Education Approval)",Bachelors,Hybrid,No,Dual,https://www.govst.edu/earlychildhoodeducation/ba/licensureteacherworkforce/
Illinois,Greenville University,Bachelor of Science  Early Childhood Education with letter of approval,Bachelors,In Person,No,Dual,https://www.greenville.edu/academics/undergraduate-programs/early-childhood-education-bs
Illinois,Illinois State University,Major in Early Childhood Education with Early Childhood Special Education Letter of Approval,Bachelors,In Person,No,Dual,https://illinoisstate.edu/catalog/undergraduate/teaching-learning/early-childhood-education-course-requirements/
Illinois,Lewis University,"Early Childhood Education / Bachelor of Arts
Dual-Licensure in ECED and ECSE with ESL",Bachelors,In Person,No,Dual,https://lewisu.smartcatalogiq.com/UnderGrad-2022-2023/Undergraduate-Catalog/New-College-of-Education-Social-Sciences-and-Human-Services/College-of-Education/Education-Majors/Early-Childhood-Education-with-Endorsements-in-Special-Education-and-English-as-a-Second-Language-Bachelor-of-Arts
Illinois,Loyola University Chicago,BSEd in Early Childhood Special Education,Bachelors,In Person,No,Dual,https://www.luc.edu/education/academics/degreeprograms/undergraduatedegrees/bsedinearlychildhoodspecialeducation/
Illinois,National Louis University,"Early Childhood Education - Competency-Based, B.A.",Bachelors,Hybrid,Yes,Dual,https://nl.edu/undergraduate-college/programs/cb-ba-early-childhood-education/
Illinois,National Louis University,"Early Childhood Education, B.A.",Bachelors,Hybrid,No,Dual,https://nl.smartcatalogiq.com/en/Current/Undergraduate-and-Graduate-Catalog/Undergraduate-College/Education-Programs/Early-Childhood-Education-BA/Early-Childhood-Education-BA
Illinois,Northern Illinois University,Early Childhood Education (B.S.) - Professional Educator License with Early Childhood Education Endorsement and Preschool Special Education Approval,Bachelors,In Person,No,Dual,https://catalog.niu.edu/preview_program.php?catoid=57&poid=14885&hl=%22Early+Childhood+Education+%22&returnto=search
Illinois,Rockford University,"Early Childhood Education Major, B.A. or B.S. Early Childhood Special Education Approval",Bachelors,In Person,No,Dual,https://rockford.smartcatalogiq.com/2021-2022/2021-2022-academic-catalog/undergraduate-academic-departments-and-programs/education/early-childhood-education/
Illinois,Rockford University,"Special Education Major, B.A. OR B.S. with letter of approval [with 4 additional courses]",Bachelors,In Person,No,ECSE,https://www.rockford.edu/academics/departments/education/
Illinois,Roosevelt University,BA in Early Childhood Education (ECHD) with early childhood special education approval (special needs pre-kindergarten only),Bachelors,In Person,No,Dual,https://catalog.roosevelt.edu/undergraduate/humanities-education-social-sciences/education/early-childhood/?_gl=1*mvzxhh*_gcl_au*OTkwMjUwMjUxLjE3MDUwNzM1MzE.#text
